Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00       76     0.00     0.00  std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::allocator(std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > const&)
  0.00      0.14     0.00       74     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.14     0.00       64     0.00     0.00  charToInt(char)
  0.00      0.14     0.00       64     0.00     0.00  Piece& std::forward<Piece&>(std::remove_reference<Piece&>::type&)
  0.00      0.14     0.00       61     0.00     0.00  Piece* std::__addressof<Piece>(Piece&)
  0.00      0.14     0.00       48     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_M_get_Tp_allocator() const
  0.00      0.14     0.00       45     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_M_deallocate(Coords*, unsigned long)
  0.00      0.14     0.00       42     0.00     0.00  __gnu_cxx::__normal_iterator<Piece*, std::vector<Piece, std::allocator<Piece> > >::__normal_iterator(Piece* const&)
  0.00      0.14     0.00       42     0.00     0.00  __gnu_cxx::__normal_iterator<Coords*, std::vector<Coords, std::allocator<Coords> > >::__normal_iterator(Coords* const&)
  0.00      0.14     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const*, std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > > >::__normal_iterator(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const* const&)
  0.00      0.14     0.00       40     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Coords*>(Coords*, Coords*)
  0.00      0.14     0.00       40     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_Vector_impl::~_Vector_impl()
  0.00      0.14     0.00       40     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::~_Vector_base()
  0.00      0.14     0.00       40     0.00     0.00  std::vector<Coords, std::allocator<Coords> >::~vector()
  0.00      0.14     0.00       40     0.00     0.00  void std::_Destroy<Coords*>(Coords*, Coords*)
  0.00      0.14     0.00       40     0.00     0.00  void std::_Destroy<Coords*, Coords>(Coords*, Coords*, std::allocator<Coords>&)
  0.00      0.14     0.00       38     0.00     0.00  __gnu_cxx::__normal_iterator<Coords const*, std::vector<Coords, std::allocator<Coords> > >::__normal_iterator(Coords const* const&)
  0.00      0.14     0.00       38     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*>(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*)
  0.00      0.14     0.00       38     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_Vector_impl::_Vector_impl(std::allocator<Coords> const&)
  0.00      0.14     0.00       38     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<Coords, std::allocator<Coords> >::_Vector_impl_data&)
  0.00      0.14     0.00       38     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_Vector_impl::_Vector_impl(std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > const&)
  0.00      0.14     0.00       38     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_Vector_impl::~_Vector_impl()
  0.00      0.14     0.00       38     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_M_deallocate(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*, unsigned long)
  0.00      0.14     0.00       38     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::~_Vector_base()
  0.00      0.14     0.00       38     0.00     0.00  std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::~vector()
  0.00      0.14     0.00       38     0.00     0.00  void std::_Destroy<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*>(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*)
  0.00      0.14     0.00       38     0.00     0.00  void std::_Destroy<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >&)
  0.00      0.14     0.00       37     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_M_get_Tp_allocator() const
  0.00      0.14     0.00       36     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_Vector_impl_data::_M_swap_data(std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_Vector_impl_data&)
  0.00      0.14     0.00       34     0.00     0.00  __gnu_cxx::new_allocator<Coords>::_M_max_size() const
  0.00      0.14     0.00       31     0.00     0.00  void __gnu_cxx::new_allocator<Piece>::construct<Piece, Piece>(Piece*, Piece&&)
  0.00      0.14     0.00       31     0.00     0.00  void __gnu_cxx::new_allocator<Coords>::construct<Coords, Coords>(Coords*, Coords&&)
  0.00      0.14     0.00       31     0.00     0.00  void std::allocator_traits<std::allocator<Piece> >::construct<Piece, Piece>(std::allocator<Piece>&, Piece*, Piece&&)
